WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 1.15ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.97ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 1.12ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.66ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.64ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.79ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.61ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.55ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.52ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 1.07ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.61ms
WARNING:tornado.access:404 GET http://1111.ip138.com/ic.asp (222.186.21.121) 0.76ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.56ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.67ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.57ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.59ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.66ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.56ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.51ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.57ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.84ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.80ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.90ms
WARNING:tornado.access:404 GET http://www.baidu.com/ (183.60.48.25) 0.54ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.61ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 1.08ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.77ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.70ms
WARNING:tornado.access:404 GET / (108.61.189.96) 0.59ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.70ms
WARNING:tornado.access:405 CONNECT www.google.com:443 (222.186.34.194) 0.66ms
WARNING:tornado.access:404 GET http://www.sogou.com/ (58.221.67.99) 0.72ms
WARNING:tornado.access:404 GET http://www.sogou.com/ (58.221.67.99) 0.55ms
WARNING:tornado.access:404 HEAD http://www.baidu.com/ (114.92.29.137) 0.87ms
WARNING:tornado.access:404 GET http://www.sogou.com/ (58.221.67.99) 0.81ms
WARNING:tornado.access:404 POST / (121.41.14.128) 59.94ms
WARNING:tornado.access:404 GET http://www.sogou.com/ (58.221.67.99) 6.20ms
WARNING:tornado.access:404 GET /manager/html (58.213.123.107) 0.50ms
